"TICKET","TRANSACTION DATE","TRANSACTION TYPE","DETAILS","INSTRUMENT","PRICE","UNITS","DIRECTION","SPREAD COST","STOP LOSS","GUARANTEED STOP LOSS","TAKE PROFIT","TRAILING STOP","FINANCING","COMMISSION","GSL FEE","GSL PREMIUM","CONVERSION RATE","PL","AMOUNT","BALANCE"
"138","2024-02-12 17:06:19 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"139","2024-02-13 05:06:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07685","","1.07610","","","","","","","","",""
"140","2024-02-13 05:06:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07649","3000.00","Sell","0.1500","","","","","0.00000","0.0000","0.0000","","","0.00000","","253.63"
"141","2024-02-13 05:06:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07610","","","","","","","","","","","","","","",""
"142","2024-02-13 05:06:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07685","","","","","","","","","","","","","","",""
"143","2024-02-13 05:06:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"144","2024-02-13 05:33:02 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07685","3000.00","Buy","0.1500","","","","","0.00000","0.0000","0.0000","","1.0000","-1.08000","","252.55"
"145","2024-02-13 05:33:02 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"146","2024-02-13 07:46:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Buy","","1.07605","","1.07740","","","","","","","","",""
"147","2024-02-13 07:46:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07671","3000.00","Buy","0.1200","","","","","0.00000","0.0000","0.0000","","","0.00000","","252.55"
"148","2024-02-13 07:46:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07740","","","","","","","","","","","","","","",""
"149","2024-02-13 07:46:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07605","","","","","","","","","","","","","","",""
"150","2024-02-13 07:46:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"151","2024-02-13 08:06:36 GMT","ORDER_FILL","TAKE_PROFIT_ORDER","EUR/USD","1.07741","3000.00","Sell","0.1200","","","","","0.00000","0.0000","0.0000","","1.0000","2.10000","","254.65"
"152","2024-02-13 08:06:36 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"153","2024-02-13 08:31:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Buy","","1.07590","","1.07733","","","","","","","","",""
"154","2024-02-13 08:31:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07656","3000.00","Buy","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","254.65"
"155","2024-02-13 08:31:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07733","","","","","","","","","","","","","","",""
"156","2024-02-13 08:31:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07590","","","","","","","","","","","","","","",""
"157","2024-02-13 08:31:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"158","2024-02-13 09:10:22 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07590","3000.00","Sell","0.1500","","","","","0.00000","0.0000","0.0000","","1.0000","-1.98000","","252.67"
"159","2024-02-13 09:10:22 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
"160","2024-02-13 10:06:01 GMT","MARKET_ORDER","CLIENT_ORDER","EUR/USD","","3000.00","Sell","","1.07755","","1.07626","","","","","","","","",""
"161","2024-02-13 10:06:01 GMT","ORDER_FILL","MARKET_ORDER","EUR/USD","1.07729","3000.00","Sell","0.1350","","","","","0.00000","0.0000","0.0000","","","0.00000","","252.67"
"162","2024-02-13 10:06:01 GMT","TAKE_PROFIT_ORDER","ON_FILL","","1.07626","","","","","","","","","","","","","","",""
"163","2024-02-13 10:06:01 GMT","STOP_LOSS_ORDER","ON_FILL","","1.07755","","","","","","","","","","","","","","",""
"164","2024-02-13 10:06:01 GMT","TRADE_CLIENT_EXTENSIONS_MODIFY","","","","","","","","","","","","","","","","","",""
"165","2024-02-13 10:29:35 GMT","ORDER_FILL","STOP_LOSS_ORDER","EUR/USD","1.07755","3000.00","Buy","0.1350","","","","","0.00000","0.0000","0.0000","","1.0000","-0.78000","","251.89"
"166","2024-02-13 10:29:35 GMT","ORDER_CANCEL","LINKED_TRADE_CLOSED","","","","","","","","","","","","","","","","",""
